MARCA;MODELO;CC;MM DATA;ABS;MODELO con ABS;Año;KM;Coste;PVP;Margen;Matrícula;Model_id;Fecha
BMW;F 650 GS;650;F 650 GS ;NO;F 650 GS ;2007;68000;900.00;1000.00;100.00;0363FBR;96f1189d-442b-4dbd-a257-0b46fbe07f88;17/04/2023
BMW;F 800 ST;798;F 800 ST;;;2007;46040;2600.00;1000.00;-1600.00;8487FKC;7593773f-5202-42a7-a954-4182eefdaf71;23/09/2024
BMW;R 1200 GS;1200;R 1200 GS ;NO;R 1200 GS ;2005;125000;1000.00;1000.00;-;8706DKX;94850003-2ea8-428a-b60e-7e9b3926a4a5;04/09/2023
DUCATI;MONSTER 796;803;MONSTER 796;;;2013;36800;4000.00;1000.00;-3000.00;5845HTD;d8cac5bb-3b14-4754-9ed6-5c7bd4026ec1;28/11/2024
HONDA;VTR 250;250;VTR 250 N;NO;VTR 250 ;2011;85000;500.00;1000.00;500.00;5571HFR;a3654414-a8f3-4ecb-9576-ebf2022021fb;17/05/2023
HYOSUNG;AQUILA GV-125;125;AQUILA 125;NO;AQUILA GV-125 ;2021;3100;2400.00;1000.00;-1400.00;6194LRY;2c4435be-60dc-4011-907c-8aaf0456ee25;19/06/2023
KEEWAY;RKF 125;125;RKF 125;NO;RKF 125 ;2018;12685;1000.00;1000.00;-;6056KNT;dc6aecdc-8108-4a9d-8b56-ab529ad41856;03/08/2023
KTM;DUKE 125;125;DUKE 125;NO;DUKE 125 ;2016;26950;1700.00;1000.00;-700.00;2126JLY;dadee17a-0990-42c2-a959-48dc7b820ff0;11/04/2023
KTM;DUKE 125;125;DUKE 125;NO;DUKE 125 ;2014;11471;2000.00;1000.00;-1000.00;7266HYM;dadee17a-0990-42c2-a959-48dc7b820ff0;15/05/2023
KTM;RC 125;125;RC 125;;;2016;35092;1700.00;1000.00;-700.00;2087JLL;bab240b4-0888-475b-b032-96e2db2b7a91;21/10/2024
KYMCO;AGILITY CITY 125 ;125;AGILITY CITY 125;;;2023;0;1781.00;1000.00;-781.00;LC2C90000N1013899;5e726ee0-475f-4743-8855-3fcc22814b14;23/10/2024
KYMCO;K-XCT 125;125;K-XCT 125I 2013;NO;K-XCT 125 ;2014;52000;600.00;1000.00;400.00;8392HZP;8d72f3d4-b092-4303-8fa6-b11041d31788;23/05/2023
LEONART;BOBBER 125;125;BOBBER 350 ;NO;BOBBER 125 ;2012;55000;500.00;1000.00;500.00;9069HHY;ZZZZZZZ;17/05/2023
MV AGUSTA;BRUTALE 800;800;BRUTALE 800;;;2016;30164;4800.00;1000.00;-3800.00;5843JRX;8a8669f7-c14b-4306-b268-b91ad67286c4;27/08/2024
MV AGUSTA;BRUTALE 800;800;BRUTALE 800;;;2016;30164;4800.00;1000.00;-3800.00;5843JRX;8a8669f7-c14b-4306-b268-b91ad67286c4;31/08/2024
MV AGUSTA;F3 675;675;F3 675;;;2016;29000;8500.00;1000.00;-7500.00;5435JMJ;00eec073-814f-4341-bdb4-5119b30bc9fe;05/08/2024
ROYAL ENFIELD;BULLET 500;500;BULLET ELECTRA;NO;BULLET 500 ;2014;17000;1500.00;1000.00;-500.00;1707JBP;66af5c42-3e40-4016-9582-433bc4ccc12e;10/05/2023
SUZUKI;BANDIT 650;650;BANDIT 650 S;NO;BANDIT 650 ;2005;31500;2000.00;1000.00;-1000.00;0477DNS;ZZZZZZZ;17/05/2023
SUZUKI;BURGMAN 200;200;BURGMAN 200 EXECUTIVE;NO;BURGMAN 200 ;2010;20000;630.00;1000.00;370.00;4680GNR;9387c99e-25b7-4c20-bf43-b3164b4452b8;25/05/2023
SUZUKI;MARAUDER 125;125;MARAUDER 125;NO;MARAUDER 125 ;2004;20000;700.00;1000.00;300.00;4148DFB;ZZZZZZZ;18/04/2023
