MARCA;MODELO;CC;MM DATA;ABS;MODELO con ABS;Año;KM;Coste;PVP;Margen;Matrícula;Model_id;Fecha
AJP;PR7 650;600;PR7 650;NO;PR7 650 ;2023;5620;8000;9490;1490;8390MFL;ZZZZZZZ;30/04/2024
APRILIA;ATLANTIC 125;124;ATLANTIC 125;NO;ATLANTIC 125 ;2016;12227;800;1590;790;4814JTS;ZZZZZZZ;15/04/2024
APRILIA;ATLANTIC 250;250;ATLANTIC 250 I.E;NO;ATLANTIC 250 ;2005;11300;400;1390;990;9217DNT;ZZZZZZZ;23/10/2023
APRILIA;DORSODURO 750;750;DORSODURO 750;NO;DORSODURO 750 ;2008;53000;3000;3140;140;9898GGR;f076e239-3eaf-462d-903b-35a578f3a9b3;27/03/2024
APRILIA;DORSODURO 750;750;DORSODURO 750;NO;DORSODURO 750 ;2012;55547;3000;3240;240;0096HMG;f076e239-3eaf-462d-903b-35a578f3a9b3;20/03/2024
APRILIA;DORSODURO 750;750;DORSODURO 750;NO;DORSODURO 750 ;2008;62000;3000;3290;290;1942GGP;f076e239-3eaf-462d-903b-35a578f3a9b3;25/04/2024
APRILIA;DORSODURO 750;750;DORSODURO 750;NO;DORSODURO 750 ;2009;42000;2800;3690;890;7961GLG;f076e239-3eaf-462d-903b-35a578f3a9b3;25/04/2024
APRILIA;DORSODURO 750;750;DORSODURO 750;NO;DORSODURO 750 ;2010;40400;3900;3940;40;9618GSR;f076e239-3eaf-462d-903b-35a578f3a9b3;29/04/2024
APRILIA;DORSODURO 750;750;DORSODURO 750;NO;DORSODURO 750 ;2010;43300;4575;3990;-585;0103GVZ;f076e239-3eaf-462d-903b-35a578f3a9b3;07/06/2024
APRILIA;DORSODURO 750;750;DORSODURO 750;;;2008;53441;2373;3990;1617;9898GGR;f076e239-3eaf-462d-903b-35a578f3a9b3;10/09/2024
APRILIA;DORSODURO 750;750;DORSODURO 750;NO;DORSODURO 750 ;2011;31000;4250;4040;-210;2499HBR;f076e239-3eaf-462d-903b-35a578f3a9b3;04/07/2024
APRILIA;DORSODURO 750;750;DORSODURO 750;NO;DORSODURO 750 ;2009;13800;3400;4990;1590;0365GRL;f076e239-3eaf-462d-903b-35a578f3a9b3;22/03/2023
APRILIA;DORSODURO 750;750;DORSODURO 750 ABS;ABS;DORSODURO 750 ABS;2008;26900;3400;4990;1590;5115GGX;f076e239-3eaf-462d-903b-35a578f3a9b3;30/10/2023
APRILIA;DORSODURO 900;900;DORSODURO 900;NO;DORSODURO 900 ;2017;19000;6300;7190;890;3282KBY;4054b1cb-d90a-4b5d-b8b3-7c2d70bbb10b;27/09/2023
APRILIA;DORSODURO 900;900;DORSODURO 900 ABS;ABS;DORSODURO 900 ABS;2018;26623;6000;7290;1290;1340KJR;4054b1cb-d90a-4b5d-b8b3-7c2d70bbb10b;12/09/2023
APRILIA;DORSODURO 900;900;DORSODURO 900;NO;DORSODURO 900 ;2018;22590;6200;7290;1090;3630KLB;4054b1cb-d90a-4b5d-b8b3-7c2d70bbb10b;04/01/2024
APRILIA;HABANA 125;125;HABANA 125;NO;HABANA 125 ;2017;3000;450;1240;790;4422JVX;ZZZZZZZ;18/01/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2010;2500;1600;2600;1000;3266DKK;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;05/05/2023
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2017;10500;2250;3140;890;2501KCJ;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;26/03/2024
APRILIA;RS 125;125;RS 125;;;2022;2041;3200;3240;40;7097LXJ;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;31/08/2024
APRILIA;RS 125;125;RS 125;;;2022;19694;2200;3249;1049;9902LWD;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;18/11/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2021;476;2530;3390;860;6361LSM;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;03/04/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2022;15700;2800;3440;640;1050LYG;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;23/05/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2019;10000;2000;3490;1490;2826KNV;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;09/05/2023
APRILIA;RS 125;125;Rs4 125 4T;NO;RS 125 ;2012;13000;2500;3490;990;2113HLC;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;31/05/2023
APRILIA;RS 125;125;RS 125 ;NO;RS 125 ;2020;12700;3200;3540;340;7736LKL;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;13/12/2023
APRILIA;RS 125;125;RS 125;;;2022;10900;2745;3690;945;2196LZB;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;05/08/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2023;0;3388;3711;322;5978MKX;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;13/03/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2023;0;3389;3711;321;5836MKX;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;25/03/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2024;1;3306;3752;446;2148MRF;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;31/05/2024
APRILIA;RS 125;125;Rs4 125 4T;NO;RS 125 ;2012;13000;2300;3780;1480;2113HLC;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;31/05/2023
APRILIA;RS 125;125;RS 125 REPLICA GP ABS;ABS;RS 125 ABS;2012;3183;2200;3790;1590;2030KTD;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;18/07/2023
APRILIA;RS 125;125;RS 125 125;NO;RS 125 ;2023;0;3552;3959;407;7080MHK;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;13/09/2023
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2023;4234;3300;3990;690;6566MGD;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;25/07/2024
APRILIA;RS 125;125;RS 125;;;2023;5838;3500;3990;490;6566MGD;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;27/09/2024
APRILIA;RS 125;125;RS 125;;;2023;4208;3400;4049;649;6644MJK;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;21/10/2024
APRILIA;RS 125;125;RS 125 R;NO;RS 125 ;2021;9000;3300;4090;790;5323LSF;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;09/05/2023
APRILIA;RS 125;125;RS 125;;;2024;1882;3600;4140;540;6211MSX;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;31/10/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2022;4700;3300;4190;890;5735LXG;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;17/02/2023
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2023;4712;3500;4190;690;7918MLL;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;16/07/2024
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2022;2000;3500;4290;790;6299MBP;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;17/01/2023
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2022;138;3600;4290;690;3343MGY;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;14/06/2023
APRILIA;RS 125;125;RS 125 2021;NO;RS 125 ;2021;500;3400;4290;890;4386LKN;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;14/07/2023
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2023;300;2800;4290;1490;6644MJK;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;05/04/2024
APRILIA;RS 125;125;RS 125 ;NO;RS 125 ;2022;5200;3400;4390;990;6260LZK;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;28/04/2023
APRILIA;RS 125;125;RS 125 None;NO;RS 125 ;2023;1400;3800;4390;590;0957MKH;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;31/10/2023
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2021;450;3660;4390;730;3674LPY;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;26/04/2024
APRILIA;RS 125;125;RS 125 2021;NO;RS 125 ;2022;5800;4000;4790;790;0623LWP;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;29/06/2023
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2022;2300;3800;4790;990;1464MBF;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;05/07/2023
APRILIA;RS 125;125;RS 125 2021;NO;RS 125 ;2022;2900;3575;4790;1215;3001MBW;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;28/09/2023
APRILIA;RS 125;125;RS 125 2021;NO;RS 125 ;2022;5800;3700;4880;1180;0623LWP;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;29/06/2023
APRILIA;RS 125;125;RS 125;NO;RS 125 ;2023;300;2800;5190;2390;6644MJK;f27986e0-937a-4c42-8fa9-a9ae79e7c0ca;30/08/2023
APRILIA;RS 660;660;RS660 ;NO;RS 660 ;2022;190;9800;10669;869;3436LZH;0a116c30-e4a7-43bf-93da-487e42253e1f;03/11/2022
APRILIA;RS 660;660;RS660 ;NO;RS 660 ;2022;190;9800;11880;2080;3436LZH;0a116c30-e4a7-43bf-93da-487e42253e1f;03/11/2022
APRILIA;RS 660;660;RS 660;NO;RS 660 ;2021;33530;6000;7290;1290;1877LTT;0a116c30-e4a7-43bf-93da-487e42253e1f;12/03/2024
APRILIA;RS 660;660;RS 660;;;2021;17806;6500;7540;1040;4017LVR;0a116c30-e4a7-43bf-93da-487e42253e1f;06/09/2024
